Unique ,Year,Date ,Type,TSN,Species,Rep,STA,Depth (m),Lat DD,Long DD,Acidified?,Sampling,Composit,Size,Notes,Unique non,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C,Unique acid,amount (mg) , ?¹?N,?moles N,?¹³C,?moles C
149,2015,2-Aug-15,Animal,164706,Boreogadus saida,1,5A,11.8,70.49468,-148.764,Non only,Trawl,n=1,6.5 cm,,149,0.324,11.97,2.98,-21.02,11.52,,,,,,
151,2015,2-Aug-15,Animal,65232,Phyllodoce groenlandica,1,5A,11.8,70.49468,-148.764,Non only,Trawl,n=1,,,151,0.333,14.25,2.45,-19.19,14.57,,,,,,
155,2015,2-Aug-15,Animal,80797,Astarte sp.,1,3A,6.4,70.28238,-147.09002,Non only,Grab,n=4,small,,155,0.459,8.91,2.34,-24.18,14.05,,,,,,
157,2015,2-Aug-15,Animal,80797,Astarte sp.,2,3A,6.4,70.28238,-147.09002,Non only,Grab,n=2,small,,157,0.431,10.64,2.73,-21.69,14.25,,,,,,
159,2015,2-Aug-15,Animal,69893,Margarites costalis,1,3A,6.4,70.28238,-147.09002,Non only,Trawl,n=1,,,159,0.386,11.18,3.14,-18.31,13.33,,,,,,
161,2015,2-Aug-15,Animal,69893,Margarites costalis,2,3A,6.4,70.28238,-147.09002,Non only,Trawl,n=1,,,161,0.314,11.63,2.21,-17.88,10.10,,,,,,
163,2015,2-Aug-15,Animal,66013,Nephtys ciliata,1,3A,6.4,70.28238,-147.09002,Non only,Grab,n=2,,,163,0.478,12.79,2.69,-18.22,11.93,,,,,,
165,2015,2-Aug-15,Animal,66013,Nephtys ciliata,2,3A,6.4,70.28238,-147.09002,Non only,Grab,n=2,,,165,0.352,12.78,2.03,-18.42,8.81,,,,,,
167,2015,3-Aug-15,Animal,94230,Anonyx sp.,1,143 W1,38.8,70.25728,-143.60658,Non only,Trawl,n=1,,,167,0.442,14.93,2.22,-22.99,15.69,,,,,,
169,2015,3-Aug-15,Animal,94230,Anonyx sp.,2,143 W1,38.8,70.25728,-143.60658,Non only,Trawl,n=1,,,169,0.347,13.52,1.18,-21.77,12.56,,,,,,
175,2015,3-Aug-15,Animal,69893,Margarites costalis,1,143 W1,38.8,70.25728,-143.60658,Non only,Trawl,n=1,,,175,0.372,10.59,2.63,-20.79,11.91,,,,,,
177,2015,3-Aug-15,Animal,69893,Margarites costalis,2,143 W1,38.8,70.25728,-143.60658,Non only,Trawl,n=1,,,177,0.397,10.84,3.02,-20.75,13.56,,,,,,
179,2015,3-Aug-15,Animal,66011,Nephtys sp.,1,143 W1,38.8,70.25728,-143.60658,Non only,Trawl,n=1,,,179,0.399,11.01,2.56,-22.90,13.79,,,,,,
185,2015,3-Aug-15,Animal,65232,Phyllodoce groenlandica,1,143 W1,38.8,70.25728,-143.60658,Non only,Trawl,n=1,,,185,0.404,12.87,2.62,-21.56,13.39,,,,,,
187,2015,3-Aug-15,Animal,65232,Phyllodoce groenlandica,2,143 W1,38.8,70.25728,-143.60658,Non only,Trawl,n=1,,,187,0.304,12.85,1.89,-21.58,9.93,,,,,,
189,2015,3-Aug-15,Animal,94230,Anonyx sp.,1,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=2,,,189,0.456,15.41,2.06,-22.56,12.93,,,,,,
191,2015,3-Aug-15,Animal,94230,Anonyx sp.,2,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=2,,,191,0.477,14.78,1.98,-23.09,12.20,,,,,,
193,2015,3-Aug-15,Animal,164706,Boreogadus saida,1,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=1,6 cm,,193,0.308,12.87,2.68,-21.99,10.40,,,,,,
195,2015,3-Aug-15,Animal,164706,Boreogadus saida,2,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=1,4.5 cm,,195,0.408,13.21,3.32,-22.77,13.33,,,,,,
197,2015,3-Aug-15,Animal,96807,Eualus gaimardii,1,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=2,,,197,0.426,13.08,3.97,-20.22,14.67,,,,,,
199,2015,3-Aug-15,Animal,96807,Eualus gaimardii,2,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=2,,,199,0.400,13.39,3.66,-19.57,13.27,,,,,,
205,2015,3-Aug-15,Animal,69893,Margarites costalis,1,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=1,,,205,0.342,9.66,2.71,-20.88,11.23,,,,,,
207,2015,3-Aug-15,Animal,69893,Margarites costalis,2,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=1,,,207,0.346,10.39,2.67,-20.60,10.56,,,,,,
209,2015,3-Aug-15,Animal,66011,Nephtys sp.,1,143 W2,48,70.44248,-143.5957,Non only,Trawl,n=1,,,209,0.326,14.01,2.10,-20.21,9.14,,,,,,
211,2015,4-Aug-15,Animal,94230,Anonyx sp.,1,143 W4,154,70.56907,-143.60012,Non only,Trawl,n=2,,,211,0.374,16.20,2.07,-21.57,11.09,,,,,,
213,2015,4-Aug-15,Animal,94230,Anonyx sp.,2,143 W4,154,70.56907,-143.60012,Non only,Trawl,n=2,,,213,0.314,17.26,2.22,-20.08,9.91,,,,,,
215,2015,4-Aug-15,Animal,80797,Astarte sp.,1,143 W4,154,70.56907,-143.60012,Non only,Trawl,n=2,,,215,0.341,14.78,2.50,-19.63,14.67,,,,,,
217,2015,4-Aug-15,Animal,80797,Astarte sp.,2,143 W4,154,70.56907,-143.60012,Non only,Trawl,n=1,,,217,0.486,14.41,3.46,-20.01,15.22,,,,,,
219,2015,4-Aug-15,Animal,66013,Nephtys ciliata,1,143 W4,154,70.56907,-143.60012,Non only,Trawl,n=2,,,219,0.342,15.96,2.31,-18.12,9.39,,,,,,
221,2015,4-Aug-15,Animal,66013,Nephtys ciliata,2,143 W4,154,70.56907,-143.60012,Non only,Trawl,n=2,,,221,0.347,16.58,2.35,-17.93,9.32,,,,,,
231,2015,4-Aug-15,Animal,94230,Anonyx sp.,1,143 W3,103,70.54817,-143.53765,Non only,Trawl,n=2,,,231,0.417,17.10,2.07,-24.12,16.92,,,,,,
233,2015,4-Aug-15,Animal,94230,Anonyx sp.,2,143 W3,103,70.54817,-143.53765,Non only,Trawl,n=2,,,233,0.448,16.91,2.04,-23.80,16.40,,,,,,
235,2015,4-Aug-15,Animal,80797,Astarte sp.,1,143 W3,103,70.54817,-143.53765,Non only,Trawl,n=2,,,235,0.309,12.98,2.19,-19.98,9.63,,,,,,
237,2015,4-Aug-15,Animal,80797,Astarte sp.,2,143 W3,103,70.54817,-143.53765,Non only,Trawl,n=1,,,237,0.315,12.82,2.18,-20.42,9.57,,,,,,
239,2015,4-Aug-15,Animal,66011,Nephtys sp.,1,143 W3,103,70.54817,-143.53765,Non only,Trawl,n=1,,,239,0.380,14.61,2.84,-19.34,11.39,,,,,,
251,2015,4-Aug-15,Animal,96807,Eualus gaimardii,1,70-142,65.5,70.46577,-142.4026,Non only,Trawl,n=2,,,251,0.447,13.27,4.22,-19.94,15.56,,,,,,
253,2015,4-Aug-15,Animal,96807,Eualus gaimardii,2,70-142,65.5,70.46577,-142.4026,Non only,Trawl,n=2,,,253,0.429,13.74,3.88,-20.08,14.69,,,,,,
259,2015,4-Aug-15,Animal,69893,Margarites costalis,1,70-142,65.5,70.46577,-142.4026,Non only,Trawl,n=2,,,259,0.459,10.58,3.63,-20.64,15.02,,,,,,
261,2015,4-Aug-15,Animal,69893,Margarites costalis,2,70-142,65.5,70.46577,-142.4026,Non only,Trawl,n=2,,,261,0.317,10.65,2.47,-20.76,9.51,,,,,,
271,2015,4-Aug-15,Animal,65232,Phyllodoce groenlandica,1,70-142,65.5,70.46577,-142.4026,Non only,Trawl,n=1,,,271,0.342,13.72,2.51,-21.22,11.01,,,,,,
273,2015,4-Aug-15,Animal,65232,Phyllodoce sp.,1,70-142,65.5,70.46577,-142.4026,Non only,Trawl,n=1,,,273,0.387,11.33,2.47,-22.51,13.29,,,,,,
275,2015,4-Aug-15,Animal,94230,Anonyx sp.,1,70-143,57,70.36135,-142.85175,Non only,Trawl,n=2,,,275,0.385,15.97,2.00,-22.43,11.16,,,,,,
277,2015,4-Aug-15,Animal,94230,Anonyx sp.,2,70-143,57,70.36135,-142.85175,Non only,Trawl,n=2,,,277,0.453,16.22,1.78,-24.03,14.27,,,,,,
279,2015,4-Aug-15,Animal,80797,Astarte sp.,1,70-143,57,70.36135,-142.85175,Non only,Clam rake,n=1,,,279,0.394,8.57,2.79,-22.32,13.24,,,,,,
281,2015,4-Aug-15,Animal,80797,Astarte sp.,2,70-143,57,70.36135,-142.85175,Non only,Clam rake,n=1,,,281,0.369,8.83,2.34,-20.94,11.07,,,,,,
283,2015,4-Aug-15,Animal,164706,Boreogadus saida,1,70-143,57,70.36135,-142.85175,Non only,Trawl,n=1,5 cm,,283,0.360,13.10,3.16,-21.93,12.10,,,,,,
289,2015,4-Aug-15,Animal,69893,Margarites costalis,1,70-143,57,70.36135,-142.85175,Non only,Trawl,n=2,,,289,0.338,10.83,2.55,-21.05,10.87,,,,,,
291,2015,4-Aug-15,Animal,69893,Margarites costalis,2,70-143,57,70.36135,-142.85175,Non only,Trawl,n=2,,,291,0.354,10.76,2.74,-21.21,11.55,,,,,,
293,2015,4-Aug-15,Animal,66011,Nephtys sp.,1,70-143,57,70.36135,-142.85175,Non only,Trawl,n=2,,,293,0.303,14.30,1.81,-19.78,8.71,,,,,,
295,2015,4-Aug-15,Animal,66011,Nephtys sp.,2,70-143,57,70.36135,-142.85175,Non only,Trawl,n=2,,,295,0.415,14.40,2.88,-19.33,12.52,,,,,,
303,2015,5-Aug-15,Animal,94230,Anonyx sp.,1,70-145,45.8,70.49115,-144.96818,Non only,Trawl,n=1,medium,muscle,303,0.383,16.20,2.11,-22.62,11.67,,,,,,
305,2015,5-Aug-15,Animal,94230,Anonyx sp.,2,70-145,45.8,70.49115,-144.96818,Non only,Trawl,n=3,small,muscle,305,0.352,15.10,1.65,-22.36,10.43,,,,,,
311,2015,5-Aug-15,Animal,96809,Eualus gaimardii gaimardii,1,70-145,45.8,70.49115,-144.96818,Non only,Trawl,n=2,,,311,0.375,13.58,3.47,-19.89,13.65,,,,,,
313,2015,5-Aug-15,Animal,96809,Eualus gaimardii gaimardii,2,70-145,45.8,70.49115,-144.96818,Non only,Trawl,n=2,,,313,0.336,12.94,2.88,-21.46,12.41,,,,,,
315,2015,5-Aug-15,Animal,69893,Margarites costalis,1,70-145,45.8,70.49115,-144.96818,Non only,Trawl,n=2,,,315,0.479,10.99,3.63,-20.87,14.96,,,,,,
317,2015,5-Aug-15,Animal,69893,Margarites costalis,2,70-145,45.8,70.49115,-144.96818,Non only,Trawl,n=1,,,317,0.324,10.57,2.40,-21.17,10.04,,,,,,
325,2015,5-Aug-15,Animal,94230,Anonyx sp.,1,71-145,103,70.67525,-144.91698,Non only,Trawl,n=1,,,325,0.351,16.73,1.51,-24.75,15.82,,,,,,
327,2015,5-Aug-15,Animal,80797,Astarte sp.,1,71-145,103,70.67525,-144.91698,Non only,Trawl,n=2,,,327,0.405,13.72,2.86,-20.08,13.34,,,,,,
329,2015,5-Aug-15,Animal,80797,Astarte sp.,2,71-145,103,70.67525,-144.91698,Non only,Trawl,n=2,,,329,0.415,13.34,2.96,-20.15,13.48,,,,,,
335,2015,5-Aug-15,Animal,69893,Margarites costalis,1,71-145,103,70.67525,-144.91698,Non only,Trawl,n=2,,,335,0.42,11.24,3.15,-20.88,12.71,,,,,,
337,2015,5-Aug-15,Animal,69893,Margarites costalis,2,71-145,103,70.67525,-144.91698,Non only,Trawl,n=2,,,337,0.311,11.37,2.45,-21.26,9.98,,,,,,
347,2015,5-Aug-15,Animal,164706,Boreogadus saida,1,71-146,395,70.95688,-145.80058,Non only,Trawl,n=1,9 cm,,347,0.335,14.51,3.08,-23.06,11.90,,,,,,
349,2015,5-Aug-15,Animal,96807,Eualus gaimardii,1,71-146,395,70.95688,-145.80058,Non only,Trawl,n=2,,,349,0.352,17.32,3.22,-19.52,11.64,,,,,,
351,2015,5-Aug-15,Animal,96807,Eualus gaimardii,2,71-146,395,70.95688,-145.80058,Non only,Trawl,n=2,,,351,0.291,17.52,2.73,-19.60,9.88,,,,,,
353,2015,5-Aug-15,Animal,66011,Nephtys sp.,1,71-146,395,70.95688,-145.80058,Non only,Trawl,n=2,,,353,0.436,17.28,3.19,-19.07,13.09,,,,,,
355,2015,5-Aug-15,Animal,66011,Nephtys sp.,2,71-146,395,70.95688,-145.80058,Non only,Trawl,n=2,,,355,0.402,17.43,2.93,-18.95,11.94,,,,,,
363,2015,6-Aug-15,Animal,80797,Astarte sp.,1,71-147,100,,,Non only,Grab,n=2,~1.5cm,,363,0.488,13.86,2.14,-21.15,10.88,,,,,,
365,2015,6-Aug-15,Animal,80797,Astarte sp.,2,71-147,100,,,Non only,Grab,n=2,~1.5cm,,365,0.329,13.91,1.67,-21.10,8.19,,,,,,
367,2015,6-Aug-15,Animal,164706,Boreogadus saida,1,71-147,100,,,Non only,Trawl,n=1,8-9 cm,,367,0.435,12.72,3.84,-22.18,15.05,,,,,,
369,2015,6-Aug-15,Animal,164706,Boreogadus saida,2,71-147,100,,,Non only,Trawl,n=1,8-9 cm,,369,0.379,13.46,3.33,-21.65,13.19,,,,,,
371,2015,6-Aug-15,Animal,96809,Eualus gaimardii gaimardii,1,71-147,100,,,Non only,Trawl,n=2,,,371,0.427,14.89,4.04,-17.91,15.04,,,,,,
373,2015,6-Aug-15,Animal,96809,Eualus gaimardii gaimardii,2,71-147,100,,,Non only,Trawl,n=2,,,373,0.412,14.29,3.98,-19.25,15.06,,,,,,
375,2015,6-Aug-15,Animal,69893,Margarites costalis,1,71-147,100,,,Non only,Trawl,n=2,,,375,0.292,12.29,1.78,-21.71,8.70,,,,,,
377,2015,6-Aug-15,Animal,69893,Margarites costalis,2,71-147,100,,,Non only,Trawl,n=2,,,377,0.410,13.09,2.18,-21.51,11.08,,,,,,
383,2015,6-Aug-15,Animal,94230,Anonyx sp.,1,71-149,68.4,71.15253,-148.41442,Non only,Trawl,n=2,,,383,0.369,17.66,1.97,-21.66,13.14,,,,,,
385,2015,6-Aug-15,Animal,94230,Anonyx sp.,2,71-149,68.4,71.15253,-148.41442,Non only,Trawl,n=2,,,385,0.387,17.34,1.56,-23.07,17.45,,,,,,
387,2015,6-Aug-15,Animal,164706,Boreogadus saida,1,71-149,68.4,71.15253,-148.41442,Non only,Trawl,n=1,7 cm,,387,0.333,14.13,2.70,-22.40,10.93,,,,,,
389,2015,6-Aug-15,Animal,96807,Eualus gaimardii,1,71-149,68.4,71.15253,-148.41442,Non only,Trawl,n=2,,,389,0.463,15.54,4.37,-19.34,16.96,,,,,,
391,2015,6-Aug-15,Animal,96807,Eualus gaimardii,2,71-149,68.4,71.15253,-148.41442,Non only,Trawl,n=2,,,391,0.394,15.28,3.73,-18.94,14.19,,,,,,
405,2015,6-Aug-15,Animal,65232,Phyllodoce sp.,1,71-149,68.4,71.15253,-148.41442,Non only,Rake,n=2,,,405,0.421,15.92,2.40,-20.59,12.28,,,,,,
407,2015,6-Aug-15,Animal,65232,Phyllodoce sp.,2,71-149,68.4,71.15253,-148.41442,Non only,Rake,n=2,,,407,0.455,16.13,2.97,-20.18,13.87,,,,,,
409,2015,6-Aug-15,Animal,80831,Astarte borealis,1,149-200,207,71.21227,-149.34295,Non only,Trawl,n=2,,,409,0.357,15.71,2.50,-18.86,11.25,,,,,,
411,2015,6-Aug-15,Animal,80831,Astarte borealis,2,149-200,207,71.21227,-149.34295,Non only,Trawl,n=2,,,411,0.313,16.41,2.25,-17.94,9.91,,,,,,
413,2015,6-Aug-15,Animal,80797,Astarte sp.,1,149-200,207,71.21227,-149.34295,Non only,Grab,n=1,,,413,0.383,15.90,2.79,-18.26,11.57,,,,,,
415,2015,6-Aug-15,Animal,164706,Boreogadus saida,1,149-200,207,71.21227,-149.34295,Non only,Trawl,n=1,9 cm,,415,0.375,14.65,3.25,-22.71,12.57,,,,,,
133 - 134,2015,1-Aug-15,Animal,94230,Anonyx sp.,1,71-150,18.2,70.94037,-151.03007,non - acid,Trawl,n=1,,whole,133,0.413,16.03,2.22,-19.26,12.11,134,0.594,15.92,2.29,-22.82,26.28
153 - 154,2015,2-Aug-15,Animal,94230,Anonyx sp.,1,3A,6.4,70.28238,-147.09002,non - acid,Grab,n=1,,,153,0.321,12.96,1.43,-20.16,9.46,154,0.560,13.88,2.94,-22.26,21.89
171 - 172,2015,3-Aug-15,Animal,157232,Leptasterias groenlandicus,1,143 W1,38.8,70.25728,-143.60658,non - acid,Trawl,n=1,,arms,171,0.374,11.32,0.85,-14.01,5.91,172,0.497,12.84,2.37,-24.53,20.81
173 - 174,2015,3-Aug-15,Animal,157232,Leptasterias groenlandicus,2,143 W1,38.8,70.25728,-143.60658,non - acid,Trawl,n=2,,arms,173,0.458,11.48,1.38,-15.08,8.04,174,0.521,13.23,2.53,-24.08,20.22
181 - 182,2015,3-Aug-15,Animal,157402,Ophiocten sericeum,1,143 W1,38.8,70.25728,-143.60658,non - acid,Trawl,n=many,,whole,181,0.312,9.87,0.51,-12.48,4.17,182,0.663,10.40,1.07,-22.45,10.19
183 - 184,2015,3-Aug-15,Animal,157402,Ophiocten sericeum,2,143 W1,38.8,70.25728,-143.60658,non - acid,Trawl,n=many,,whole,183,0.359,9.69,0.55,-13.69,5.11,184,0.462,8.06,0.51,-25.79,6.68
201 - 202,2015,3-Aug-15,Animal,157232,Leptasterias groenlandicus,1,143 W2,48,70.44248,-143.5957,non - acid,Trawl,n=many,,arms,201,0.349,11.78,0.86,-14.42,5.65,202,0.474,12.85,3.20,-23.26,19.56
203 - 204,2015,3-Aug-15,Animal,157232,Leptasterias groenlandicus,2,143 W2,48,70.44248,-143.5957,non - acid,Trawl,n=many,,arms,203,0.344,12.07,1.23,-14.41,5.97,204,0.358,13.65,2.24,-23.72,14.49
223 - 224,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,1,143 W4,154,70.56907,-143.60012,non - acid,Trawl,n=many,,whole,223,0.352,14.58,0.53,-10.18,4.24,224,0.643,16.34,1.73,-23.65,13.73
225 - 226,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,2,143 W4,154,70.56907,-143.60012,non - acid,Trawl,n=many,,whole,225,0.319,14.03,0.68,-13.51,4.96,226,0.495,15.37,2.03,-23.99,17.95
227 - 228,2015,4-Aug-15,Animal,157402,Ophiocten sericeum,1,143 W4,154,70.56907,-143.60012,non - acid,Trawl,n=many,,whole,227,0.365,10.63,0.54,-9.56,4.36,228,0.662,11.74,4.01,-21.78,18.90
229 - 230,2015,4-Aug-15,Animal,157402,Ophiocten sericeum,2,143 W4,154,70.56907,-143.60012,non - acid,Trawl,n=many,,whole,229,0.412,10.37,0.47,-10.89,5.62,230,0.66,10.74,0.76,-23.38,7.34
241 - 242,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,1,143 W3,103,70.54817,-143.53765,non - acid,Trawl,n=3,,whole,241,0.313,13.56,0.55,-11.07,4.46,242,0.523,15.38,0.85,-24.08,8.38
243 - 244,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,2,143 W3,103,70.54817,-143.53765,non - acid,Trawl,n=3,,whole,243,0.365,13.67,0.71,-13.24,5.84,244,0.382,15.00,1.41,-24.38,13.52
245 - 246,2015,4-Aug-15,Animal,157402,Ophiocten sericeum,1,143 W3,103,70.54817,-143.53765,non - acid,Trawl,n=many,,,245,0.327,10.55,0.57,-14.22,5.20,246,0.535,10.73,1.15,-23.94,16.67
247 - 248,2015,4-Aug-15,Animal,157402,Ophiocten sericeum,2,143 W3,103,70.54817,-143.53765,non - acid,Trawl,n=many,,,247,0.358,10.61,0.58,-13.45,5.26,248,0.414,11.12,1.03,-23.77,13.90
249 - 250,2015,4-Aug-15,Animal,94230,Anonyx sp.,1,70-142,65.5,70.46577,-142.4026,non - acid,Trawl,n=1,,,249,0.363,13.60,1.91,-20.13,9.78,250,0.481,9.27,2.02,-24.02,19.97
255 - 256,2015,4-Aug-15,Animal,157232,Leptasterias groenlandicus,1,70-142,65.5,70.46577,-142.4026,non - acid,Trawl,n=2,,arms,255,0.401,12.35,1.10,-15.44,7.36,256,0.341,13.27,1.90,-24.46,14.70
257 - 258,2015,4-Aug-15,Animal,157232,Leptasterias groenlandicus,2,70-142,65.5,70.46577,-142.4026,non - acid,Trawl,n=2,,arms,257,0.500,12.53,1.27,-15.98,8.70,258,0.571,13.87,3.68,-23.45,24.09
263 - 264,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,1,70-142,65.5,70.46577,-142.4026,non - acid,Trawl,n=2,,central disk,263,0.319,12.98,0.96,-15.63,5.84,264,0.575,13.37,2.01,-24.84,18.54
265 - 266,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,2,70-142,65.5,70.46577,-142.4026,non - acid,Trawl,n=2,,central disk,265,0.335,13.56,0.86,-15.03,5.34,266,0.675,15.02,2.31,-24.91,24.74
267 - 268,2015,4-Aug-15,Animal,157402,Ophiocten sericeum,1,70-142,65.5,70.46577,-142.4026,non - acid,Trawl,n=5,small,whole,267,0.441,10.30,0.80,-12.65,6.46,268,0.557,9.67,1.91,-23.81,21.48
269 - 270,2015,4-Aug-15,Animal,157402,Ophiocten sericeum,2,70-142,65.5,70.46577,-142.4026,non - acid,Trawl,n=5,small,whole,269,0.356,9.78,0.53,-13.66,5.43,270,0.488,9.95,1.55,-23.98,16.55
285 - 286,2015,4-Aug-15,Animal,157232,Leptasterias groenlandicus,1,70-143,57,70.36135,-142.85175,non - acid,Trawl,n=2,,arms,285,0.473,12.10,1.35,-15.77,8.54,286,0.458,12.46,2.83,-23.69,17.31
287 - 288,2015,4-Aug-15,Animal,157232,Leptasterias groenlandicus,2,70-143,57,70.36135,-142.85175,non - acid,Trawl,n=2,,arms,287,0.333,12.44,0.84,-14.94,5.76,288,0.575,13.55,3.40,-23.97,21.50
297 - 298,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,1,70-143,57,70.36135,-142.85175,non - acid,Trawl,n=many,,whole,297,0.299,14.10,0.78,-17.13,6.08,298,0.484,14.79,1.28,-25.79,17.41
299 - 300,2015,4-Aug-15,Animal,157544,Ophiacantha bidentata,2,70-143,57,70.36135,-142.85175,non - acid,Trawl,n=many,,whole,299,0.397,14.05,1.10,-16.82,7.95,300,0.571,13.80,1.58,-25.35,16.47
301 - 302,2015,4-Aug-15,Animal,157402,Ophiocten sericeum,1,70-143,57,70.36135,-142.85175,non - acid,Trawl,n=7,,whole,301,0.459,11.01,0.74,-14.29,7.12,302,0.415,10.77,1.03,-24.52,11.02
307 - 308,2015,5-Aug-15,Animal,164706,Boreogadus saida,1,70-145,45.8,70.49115,-144.96818,non - acid,Trawl,n=1,4 cm,,307,0.389,13.03,3.27,-22.87,13.51,308,0.672,13.70,5.29,-23.72,25.33
309 - 310,2015,5-Aug-15,Animal,164706,Boreogadus saida,2,70-145,45.8,70.49115,-144.96818,non - acid,Trawl,n=1,4 cm,,309,0.455,12.74,4.12,-22.71,16.55,310,0.636,13.80,5.26,-23.41,24.03
319 - 320,2015,5-Aug-15,Animal,157544,Ophiacantha bidentata,1,70-145,45.8,70.49115,-144.96818,non - acid,Trawl,n=2,,arms,319,0.363,15.44,0.81,-16.85,7.61,320,0.414,16.41,1.62,-24.89,16.81
321 - 322,2015,5-Aug-15,Animal,157544,Ophiacantha bidentata,2,70-145,45.8,70.49115,-144.96818,non - acid,Trawl,n=2,,arms,321,0.312,15.39,0.70,-17.13,6.66,322,0.661,15.91,2.57,-25.05,29.43
323 - 324,2015,5-Aug-15,Animal,157402,Ophiocten sericeum,1,70-145,45.8,70.49115,-144.96818,non - acid,Trawl,n=many,small,whole,323,0.358,10.99,0.69,-14.05,6.06,324,0.550,10.81,2.24,-23.61,19.78
331 - 332,2015,5-Aug-15,Animal,157232,Leptasterias groenlandicus,1,71-145,103,70.67525,-144.91698,non - acid,Trawl,n=2,,,331,0.358,14.33,0.95,-14.04,6.27,332,0.360,15.33,2.22,-22.65,12.75
333 - 334,2015,5-Aug-15,Animal,157232,Leptasterias groenlandicus,2,71-145,103,70.67525,-144.91698,non - acid,Trawl,n=2,,,333,0.328,13.80,0.88,-13.72,5.73,334,0.517,14.89,3.20,-22.71,17.87
339 - 340,2015,5-Aug-15,Animal,157544,Ophiacantha bidentata,1,71-145,103,70.67525,-144.91698,non - acid,Trawl,n=2,,,339,0.343,15.26,0.72,-14.15,6.04,340,0.598,16.16,2.11,-24.75,23.19
341 - 342,2015,5-Aug-15,Animal,157544,Ophiacantha bidentata,2,71-145,103,70.67525,-144.91698,non - acid,Trawl,n=3,,,341,0.404,15.59,0.78,-14.79,6.86,342,0.503,15.81,1.65,-24.71,18.49
343 - 344,2015,5-Aug-15,Animal,157402,Ophiocten sericeum,1,71-145,103,70.67525,-144.91698,non - acid,Trawl,n=3,,,343,0.375,11.42,0.56,-11.70,5.33,344,0.447,11.53,1.17,-23.27,12.38
345 - 346,2015,5-Aug-15,Animal,157402,Ophiocten sericeum,2,71-145,103,70.67525,-144.91698,non - acid,Trawl,n=3,,,345,0.343,10.62,0.43,-12.43,4.84,346,0.547,10.71,1.13,-23.08,14.48
357 - 358,2015,5-Aug-15,Animal,157544,Ophiacantha bidentata,1,71-146,395,70.95688,-145.80058,non - acid,Trawl,n=many,,,357,0.361,16.95,0.83,-12.09,5.90,358,0.548,16.88,2.36,-24.00,23.09
359 - 360,2015,5-Aug-15,Animal,157544,Ophiacantha bidentata,2,71-146,395,70.95688,-145.80058,non - acid,Trawl,n=many,,,359,0.401,16.72,0.76,-13.28,6.62,360,0.433,16.11,1.20,-23.58,13.49
361 - 362,2015,5-Aug-15,Animal,157402,Ophiocten sericeum,1,71-146,395,70.95688,-145.80058,non - acid,Trawl,n=many,,,361,0.353,10.70,0.51,-11.21,4.87,362,0.572,10.70,1.62,-22.33,15.09
379 - 380,2015,6-Aug-15,Animal,157544,Ophiacantha bidentata,1,71-147,100,,,non - acid,Trawl,n=many,,,379,0.365,16.14,0.96,-17.89,6.03,380,0.428,16.48,1.35,-24.30,16.94
381 - 382,2015,6-Aug-15,Animal,157402,Ophiocten sericeum,1,71-147,100,,,non - acid,Trawl,n=many,,,381,0.413,11.18,0.55,-11.34,5.82,382,0.488,10.85,1.08,-22.29,13.91
393 - 394,2015,6-Aug-15,Animal,157232,Leptasterias groenlandicus,1,71-149,68.4,71.15253,-148.41442,non - acid,Rake,n=many,,,393,0.369,13.47,1.22,-16.12,7.45,394,0.668,14.19,4.19,-22.86,27.47
395 - 396,2015,6-Aug-15,Animal,157232,Leptasterias groenlandicus,2,71-149,68.4,71.15253,-148.41442,non - acid,Rake,n=many,,,395,0.401,13.86,1.68,-18.13,9.98,396,0.661,15.00,4.23,-22.63,26.87
397 - 398,2015,6-Aug-15,Animal,157544,Ophiacantha bidentata,1,71-149,68.4,71.15253,-148.41442,non - acid,Trawl,n=many,,,397,0.440,14.71,0.97,-14.44,7.60,398,0.591,14.70,2.22,-24.60,21.04
399 - 400,2015,6-Aug-15,Animal,157544,Ophiacantha bidentata,2,71-149,68.4,71.15253,-148.41442,non - acid,Trawl,n=many,,,399,0.369,15.11,0.88,-16.53,6.12,400,0.651,11.81,1.56,-24.48,17.20
401 - 402,2015,6-Aug-15,Animal,157402,Ophiocten sericeum,1,71-149,68.4,71.15253,-148.41442,non - acid,Trawl,n=many,,,401,0.519,11.55,0.76,-16.07,7.24,402,0.559,11.59,1.57,-23.01,12.38
403 - 404,2015,6-Aug-15,Animal,157402,Ophiocten sericeum,2,71-149,68.4,71.15253,-148.41442,non - acid,Trawl,n=many,,,403,0.326,10.89,0.33,-14.56,3.45,404,0.482,17.22,1.40,-23.18,11.45
